CodeMembre,Nom,Prenom,Rue,Ville,CodePostal,DateNaissance,Mail,Telephone,CompteTemps,habitantParc,nom_de_commerce,solde_ecu
1,Nowmer,Sheri,2433 Bailey Road,Tlaxiaco,15057,1981-08-26,NULL,271-555-9715,0,0,NULL,0
2,Whelply,Derrick,2219 Dewing Avenue,Sooke,17172,1935-07-03,NULL,211-555-7669,0,0,NULL,0
3,Derry,Jeanne,7640 First Ave.,Issaquah,73980,1930-06-21,NULL,656-555-2272,0,0,NULL,0
4,Spence,Michael,337 Tosca Way,Burnaby,74674,1989-06-20,NULL,929-555-7279,0,0,NULL,0
5,Gutierrez,Maya,8668 Via Neruda,Novato,57355,1971-05-10,NULL,387-555-7172,0,0,NULL,0
6,Damstra,Robert,1619 Stillman Court,Lynnwood,90792,1962-10-08,NULL,922-555-5465,0,0,NULL,0
7,Kanagaki,Rebecca,2860 D Mt. Hood Circle,Tlaxiaco,13343,1969-03-27,NULL,515-555-6247,0,0,NULL,0
8,Brunner,Kim,6064 Brodia Court,San Andres,12942,1942-08-10,NULL,411-555-6825,0,0,NULL,0
9,Blumberg,Brenda,7560 Trees Drive,Richmond,17256,1999-06-23,NULL,815-555-3975,0,0,NULL,0
10,Stanz,Darren,1019 Kenwal Rd.,Lake Oswego,82017,1969-08-26,NULL,847-555-5443,0,0,NULL,0
11,Murraiin,Jonathan,5423 Camby Rd.,La Mesa,35890,1987-06-20,NULL,612-555-4878,0,0,NULL,0
12,Creek,Jewel,1792 Belmont Rd.,Chula Vista,40520,1991-10-18,NULL,555-555-2714,0,0,NULL,0
13,Medina,Peggy,3796 Keller Ridge,Mexico City,59554,1995-10-12,NULL,343-555-9778,0,0,NULL,0
14,Rutledge,Bryan,3074 Ardith Drive,Lincoln Acres,30346,1932-07-09,NULL,659-555-3160,0,0,NULL,0
15,Cavestany,Walter,7987 Seawind Dr.,Oak Bay,15542,1961-11-05,NULL,471-555-8853,0,0,NULL,0
16,Planck,Peggy,4864 San Carlos,Camacho,77787,1939-06-02,NULL,698-555-7603,0,0,NULL,0
17,Marshall,Brenda,2687 Ridge Road,Arcadia,28530,1948-03-20,NULL,771-555-6581,0,0,NULL,0
18,Wolter,Daniel,2473 Orchard Way,Altadena,49680,1934-09-21,NULL,121-555-3960,0,0,NULL,0
19,Collins,Dianne,551 Rainier Dr,Oakland,21486,1973-07-20,NULL,217-555-1567,0,0,NULL,0
20,Baker,Beverly,591 Merriewood Drive,Spring Valley,88762,1994-04-16,NULL,617-555-7972,0,0,NULL,0
21,Castillo,Pedro,1579 Plaza Rosa,Renton,71442,1938-11-04,NULL,975-555-7865,0,0,NULL,0
22,Borges,Laurie,1873 Lyon Circle,Bellingham,78588,1967-10-07,NULL,610-555-6158,0,0,NULL,0
23,Wyro,Shauna,3114 Notre Dame Ave.,La Jolla,27430,1936-10-24,NULL,444-555-1517,0,0,NULL,0
24,Wyllie,Jacqueline,6318 Marclair Dr.,Santa Fe,99737,1941-12-04,NULL,102-555-7439,0,0,NULL,0
25,Conley,Lin,7814 Milburn Dr.,Haney,65710,1972-09-26,NULL,506-555-4589,0,0,NULL,0
26,Bernard,Jose,3928 San Francisco,Burbank,51809,1974-08-25,NULL,425-555-3796,0,0,NULL,0
27,Macaluso,Charles,5678 McElroy Court,Anacortes,58052,1954-03-17,NULL,852-555-8574,0,0,NULL,0
28,Wood,Lois,2046 Las Palmas,Everett,88974,1990-03-12,NULL,794-555-6410,0,0,NULL,0
29,Armstrong,Kevin,608 Lincoln Dr.,Oak Bay,90098,1957-10-04,NULL,583-555-4474,0,0,NULL,0
30,Goldey,Cody,7230 Berrellesa Street,Milwaukie,78800,1937-07-08,NULL,548-555-9939,0,0,NULL,0
31,Nickell,Paula,2144 San Rafael,Concord,63996,1998-07-02,NULL,598-555-1289,0,0,NULL,0
32,Long,Eric,1676 Greer Ave.,Ladner,99949,1950-01-08,NULL,937-555-2299,0,0,NULL,0
33,Solimena,Mary,6843 San Simeon Dr.,Santa Cruz,51307,1991-07-23,NULL,111-555-1278,0,0,NULL,0
34,Muenich,Nathan,6629 Polson Circle,La Mesa,53422,1939-10-21,NULL,361-555-7656,0,0,NULL,0
35,Young,Ed,Rt. 470 Box A,Merida,69940,1940-04-17,NULL,457-555-5263,0,0,NULL,0
36,Arnold,Donna,7403 N. Broadway,Oregon City,38217,1935-11-22,NULL,969-555-4928,0,0,NULL,0
37,Cooper,Jennifer,5734 Ashford Court,Seattle,93604,1981-04-06,NULL,188-555-1163,0,0,NULL,0
38,Petty,Peggy,8684 Military East,Arcadia,28043,1978-04-09,NULL,722-555-8456,0,0,NULL,0
39,Olguin,Jessica,7270 Pepperidge Way,Lebanon,49592,1979-01-23,NULL,203-555-6978,0,0,NULL,0
40,Burchett,Phyllis,475 Santa Maria,Santa Cruz,49192,1946-10-27,NULL,761-555-3899,0,0,NULL,0
41,Bechard,Howard,1970 Napa Ct.,W. Linn,36903,1939-04-19,NULL,616-555-6966,0,0,NULL,0
42,Carter,Doris,8084 Cardiff Drive,San Andres,94169,1985-03-27,NULL,535-555-6174,0,0,NULL,0
